date,series_ticker,event_ticker,market_ticker,strike_type,threshold,floor_strike,cap_strike,last_price,yes_bid,yes_ask,no_bid,no_ask,volume,open_interest,result,settlement_value,expiration_value,status,ticker,mu,sigma,model_prob,market_prob,edge,settlement,direction,entry_price,settle_value,fee_per_contract,pnl_per_contract_gross,pnl_per_contract,fee_dollars,pnl_dollars
2026-03-16,KXHIGHTSATX,KXHIGHTSATX-26MAR16,KXHIGHTSATX-26MAR16-T56,less,56.0,,56.0,0.01,0.0,1.0,0.0,1.0,1705.0,0.0,no,0.0,59.0,finalized,KXHIGHTSATX,57.728401319185885,1.8133206,0.17025218313462814,0.01,0.16025218313462813,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-16,KXHIGHTSATX,KXHIGHTSATX-26MAR16,KXHIGHTSATX-26MAR16-B58.5,between,58.5,58.0,59.0,0.99,0.0,1.0,0.0,1.0,10108.0,0.0,yes,1.0,59.0,finalized,KXHIGHTSATX,57.728401319185885,1.8133206,0.19889699909229297,0.99,-0.791103000907707,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-16,KXHIGHTSATX,KXHIGHTSATX-26MAR16,KXHIGHTSATX-26MAR16-B56.5,between,56.5,56.0,57.0,0.01,0.0,1.0,0.0,1.0,2031.0,0.0,no,0.0,59.0,finalized,KXHIGHTSATX,57.728401319185885,1.8133206,0.17370217354480355,0.01,0.16370217354480354,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-17,KXHIGHTSATX,KXHIGHTSATX-26MAR17,KXHIGHTSATX-26MAR17-B66.5,between,66.5,66.0,67.0,0.99,0.0,1.0,0.0,1.0,7716.0,0.0,yes,1.0,66.0,finalized,KXHIGHTSATX,65.32248484492303,0.88053364,0.19243420677387368,0.99,-0.7975657932261263,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-17,KXHIGHTSATX,KXHIGHTSATX-26MAR17,KXHIGHTSATX-26MAR17-B64.5,between,64.5,64.0,65.0,0.01,0.0,1.0,0.0,1.0,2943.0,0.0,no,0.0,66.0,finalized,KXHIGHTSATX,65.32248484492303,0.88053364,0.2905339588285184,0.01,0.2805339588285184,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-18,KXHIGHTSATX,KXHIGHTSATX-26MAR18,KXHIGHTSATX-26MAR18-T77,less,77.0,,77.0,0.01,0.0,1.0,0.0,1.0,6030.0,0.0,no,0.0,78.0,finalized,KXHIGHTSATX,77.18871906598407,0.92907166,0.41951808374569344,0.01,0.40951808374569343,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-18,KXHIGHTSATX,KXHIGHTSATX-26MAR18,KXHIGHTSATX-26MAR18-B77.5,between,77.5,77.0,78.0,0.99,0.0,1.0,0.0,1.0,7482.0,0.0,yes,1.0,78.0,finalized,KXHIGHTSATX,77.18871906598407,0.92907166,0.3892094412361474,0.99,-0.6007905587638526,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-20,KXHIGHTSATX,KXHIGHTSATX-26MAR20,KXHIGHTSATX-26MAR20-B89.5,between,89.5,89.0,90.0,0.99,0.0,1.0,0.0,1.0,8599.0,5961.0,yes,1.0,90.0,finalized,KXHIGHTSATX,88.64959869384764,0.9229731,0.28038470139157545,0.99,-0.7096152986084245,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-20,KXHIGHTSATX,KXHIGHTSATX-26MAR20,KXHIGHTSATX-26MAR20-B87.5,between,87.5,87.0,88.0,0.01,0.0,1.0,0.0,1.0,4641.0,3305.0,no,0.0,90.0,finalized,KXHIGHTSATX,88.64959869384764,0.9229731,0.20382798509272976,0.01,0.19382798509272975,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-21,KXHIGHTSATX,KXHIGHTSATX-26MAR21,KXHIGHTSATX-26MAR21-B92.5,between,92.5,92.0,93.0,0.99,0.0,1.0,0.0,1.0,6497.0,4965.0,yes,1.0,93.0,finalized,KXHIGHTSATX,92.12889298995337,0.90690684,0.3881134253276225,0.99,-0.6018865746723775,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
