date,nn_forecast,nwp_forecast,actual,nn_sigma,fcst_gfs_global,fcst_ecmwf_ifs025,fcst_icon_seamless,fcst_gem_seamless,fcst_jma_seamless,fcst_ncep_hrrr_conus,month,nn_load_error_mw,nwp_load_error_mw,fcst_gfs_global_load_error_mw,fcst_ecmwf_ifs025_load_error_mw,fcst_icon_seamless_load_error_mw,fcst_gem_seamless_load_error_mw,fcst_jma_seamless_load_error_mw,fcst_ncep_hrrr_conus_load_error_mw,da_rt_spread,dam_price_avg,rtm_price_avg,nn_cost,nwp_cost,daily_savings,cumulative_savings,fcst_gfs_global_cost,fcst_ecmwf_ifs025_cost,fcst_icon_seamless_cost,fcst_gem_seamless_cost,fcst_jma_seamless_cost,fcst_ncep_hrrr_conus_cost
2025-07-05,85.94486777941387,85.66416666666667,86.35,1.0145976924598166,89.865,86.185,85.335,85.335,83.345,83.91999999999999,7,-202.5661102930627,-342.9166666666603,1757.5000000000002,-82.49999999999602,-507.5000000000003,-507.5000000000003,-1502.4999999999977,-1215.0000000000034,7.232187499999995,33.19125,25.9590625,11719.968726280867,19840.301041666284,8120.332315385416,4573083.201235132,101684.55624999994,4773.243749999767,29362.681249999994,29362.681249999994,86930.89374999981,70296.86250000015
2025-07-06,91.62841691811879,89.84833333333333,91.35,0.8932917206921067,93.905,89.03,89.065,90.255,87.16999999999999,89.665,7,139.20845905939672,-750.8333333333326,1277.5000000000034,-1159.9999999999966,-1142.4999999999982,-547.4999999999994,-2090.0000000000036,-842.4999999999941,5.62875,34.1575,28.52875,6268.556911444634,33810.024999999965,27541.46808855533,4600624.669323687,57525.82500000016,52234.79999999985,51446.77499999992,24653.924999999974,94112.70000000017,37937.77499999973
2025-07-07,92.19881690541904,90.10416666666666,92.60000000000001,0.8617934795496377,93.74499999999999,87.91499999999999,90.88,90.33999999999999,87.0,90.74499999999999,7,-200.591547290486,-1247.9166666666756,572.4999999999909,-2342.500000000008,-860.0000000000066,-1130.0000000000095,-2800.000000000004,-927.5000000000091,6.030312500000001,42.43375,36.4034375,9677.037720161272,60202.61979166711,50525.582071505836,4651150.251395193,27618.831249999566,113008.05625000042,41488.55000000032,54514.02500000047,135079.0000000002,44744.91875000045
2025-07-08,92.64679942727089,90.55,93.35,0.8524094266964095,94.615,88.19,90.61,91.34,86.57500000000002,91.96999999999998,7,-351.6002863645511,-1399.9999999999986,632.5000000000002,-2579.999999999998,-1369.9999999999975,-1004.9999999999955,-3387.4999999999886,-690.0000000000048,-24.4853125,42.80375,67.2890625,68872.34309380417,274235.4999999997,205363.15690619554,4856513.408301389,123895.68125000004,505376.8499999996,268359.0249999995,196861.9124999991,663551.9687499978,135158.92500000092
2025-07-09,91.10994439522426,89.31666666666666,92.6,0.8322972022164127,93.60499999999999,86.295,89.85,90.345,85.72500000000001,90.07999999999998,7,-745.0278023878667,-1641.6666666666656,502.4999999999977,-3152.4999999999964,-1375.0,-1127.4999999999977,-3437.4999999999927,-1260.000000000005,-14.553437499999994,37.94375,52.497187499999995,86741.72446251332,191135.14583333314,104393.42137081982,4960906.829672209,58504.818749999715,367037.69374999945,160087.81249999994,131272.0062499997,400219.531249999,146698.65000000052
2025-07-10,95.14789594491323,92.65083333333332,95.3,0.897689719775517,96.095,89.83,94.03,93.30499999999999,89.36999999999999,93.27499999999999,7,-76.05202754338336,-1324.5833333333367,397.50000000000085,-2734.9999999999995,-634.999999999998,-997.5000000000023,-2965.0000000000036,-1012.5000000000028,3.424375000000005,35.325,31.900625,2083.44529455099,36286.96041666681,34203.515122115816,4995110.344794325,10889.512500000039,74925.3250000001,17395.824999999968,27326.512500000103,81226.17500000022,27737.437500000116
2025-07-11,92.46140769322713,91.03333333333333,93.1,0.9038994181382233,94.265,89.34,91.86,92.355,87.495,90.88499999999999,7,-319.296153386432,-1033.3333333333314,582.5000000000032,-1879.9999999999955,-619.9999999999975,-372.49999999999517,-2802.499999999995,-1107.5000000000018,1.4334375000000037,33.15375,31.7203125,3661.5286389589187,11849.75000000001,8188.221361041091,5003298.566155366,6679.818750000054,21558.900000000005,7109.849999999989,4271.643749999956,32137.668750000026,12700.256250000053
2025-07-12,93.86186635494232,91.42500000000001,94.1,0.7533293715850355,94.26999999999998,89.89,92.16,93.32000000000001,86.255,92.655,7,-119.06682252883627,-1337.4999999999914,84.99999999999375,-2104.999999999997,-969.9999999999989,-389.99999999999346,-3922.4999999999995,-722.4999999999966,-58.73781250000001,41.29,100.0278125,55949.797573356496,628494.593749996,572544.7961766395,5575843.362332005,39941.71249999707,989144.7624999987,455805.4249999995,183261.97499999695,1843192.5562500001,339504.55624999845
2025-07-13,88.79760907491047,87.88333333333333,91.15,0.9549656142914795,91.47500000000001,85.35999999999999,88.835,88.065,85.985,87.58,7,-1176.1954625447686,-1633.3333333333399,162.50000000000142,-2895.00000000001,-1157.500000000006,-1542.500000000004,-2582.500000000003,-1785.0000000000036,-5.112499999999997,43.7175,48.83,48106.39441808101,66803.33333333356,18696.938915252555,5594540.301247258,6646.250000000055,118405.50000000035,47341.75000000022,63088.25000000013,105624.25000000007,73006.5000000001
2025-07-14,93.0325954759121,90.3275,91.75,0.7838930007380606,94.56,87.64,91.095,90.02499999999999,86.94,91.705,7,641.2977379560516,-711.2499999999998,1405.0000000000011,-2054.9999999999995,-327.50000000000057,-862.5000000000043,-2405.000000000001,-22.500000000000853,20.722812499999996,51.745,31.0221875,106315.94224269911,117912.80312499995,11596.86088230084,5606137.162129559,232924.41250000015,340683.03749999986,54293.76875000008,142987.4062500007,398706.9125000001,3730.106250000141
2025-07-15,94.86247457623482,92.53500000000001,94.60000000000001,0.7759234283713792,96.315,90.1,93.55499999999999,92.41,89.26,93.57,7,131.2372881174042,-1032.4999999999989,857.4999999999945,-2250.0000000000073,-522.500000000008,-1095.000000000006,-2670.000000000002,-515.0000000000077,10.0828125,39.91375,29.8309375,10585.927752770116,83284.0312499999,72698.10349722978,5678835.265626788,69168.09374999955,181490.62500000058,42146.15625000064,88325.43750000047,215368.87500000015,41541.18750000062
